CustomerID,FirstName,LastName,Company,City,State,Country,Region,PostalCode,Phone,Email,InvoiceID,InvoiceDate,UnitPrice,Quantity,Artist,Album,Track,Composer,Milliseconds,Bytes,MediaType,Genre,Sales
2,Leonie,Kahler,null,Stuttgart,null,Germany,Europe,70174,+49 0711 2842222,leonekohler@surfeu.de,1,1/1/08,0.99,4,Accept,Restless and Wild,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman","252,051",4.33M,Protected AAC audio file,Rock,3.96
2,Leonie,Kahler,null,Stuttgart,null,Germany,Europe,70174,+49 0711 2842222,leonekohler@surfeu.de,1,1/1/08,0.99,4,Accept,Balls to the Wall,Balls to the Wall,null,"342,562",5.51M,Protected AAC audio file,Rock,3.96
4,Bjarn,Hansen,null,Oslo,null,Norway,Europe,171,+47 22 44 22 22,bjorn.hansen@yahoo.no,2,1/2/08,0.99,2,AC/DC,For Those About To Rock We Salute You,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson","210,834",6.85M,MPEG audio file,Rock,1.98
4,Bjarn,Hansen,null,Oslo,null,Norway,Europe,171,+47 22 44 22 22,bjorn.hansen@yahoo.no,2,1/2/08,0.99,1,AC/DC,For Those About To Rock We Salute You,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson","263,288",8.60M,MPEG audio file,Rock,0.99
4,Bjarn,Hansen,null,Oslo,null,Norway,Europe,171,+47 22 44 22 22,bjorn.hansen@yahoo.no,2,1/2/08,0.99,5,AC/DC,For Those About To Rock We Salute You,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson","205,662",6.71M,MPEG audio file,Rock,4.95
4,Bjarn,Hansen,null,Oslo,null,Norway,Europe,171,+47 22 44 22 22,bjorn.hansen@yahoo.no,2,1/2/08,0.99,2,AC/DC,For Those About To Rock We Salute You,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson","263,497",8.61M,MPEG audio file,Rock,1.98
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,2,AC/DC,Let There Be Rock,Overdose,AC/DC,"369,319",12.07M,MPEG audio file,Rock,1.98
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,5,Aerosmith,Big Ones,Janie's Got A Gun,"Steven Tyler, Tom Hamilton","330,736",10.87M,MPEG audio file,Rock,4.95
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,2,Aerosmith,Big Ones,Angel,"Steven Tyler, Desmond Child","307,617",9.99M,MPEG audio file,Rock,1.98
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,1,AC/DC,Let There Be Rock,Dog Eat Dog,AC/DC,"215,196",7.03M,MPEG audio file,Rock,0.99
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,4,Aerosmith,Big Ones,Love In An Elevator,"Steven Tyler, Joe Perry","321,828",10.55M,MPEG audio file,Rock,3.96
8,Daan,Peeters,null,Brussels,null,Belgium,Europe,1000,+32 02 219 03 03,daan_peeters@apple.be,3,1/3/08,0.99,5,Aerosmith,Big Ones,Deuces Are Wild,"Steven Tyler, Jim Vallance","215,875",7.07M,MPEG audio file,Rock,4.95
14,Mark,Philips,Telus,Edmonton,AB,Canada,North  America,T6G 2C7,+1 (780) 434-4554,mphilips12@shaw.ca,4,1/6/08,0.99,5,Alice In Chains,Facelift,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley","344,163",11.18M,MPEG audio file,Rock,4.95
